entry_time,exit_time,direction,entry,exit,result,pnl,capital,year
2024-03-25 17:05:00+00:00,2024-03-25 17:35:00+00:00,long,70530.02,70353.99,SL,-0.6602,65.3626,2024
2024-03-25 19:55:00+00:00,2024-03-25 20:10:00+00:00,long,70960.89,70779.59,SL,-0.6536,64.709,2024
2024-03-25 22:10:00+00:00,2024-03-25 23:25:00+00:00,long,70381.1,70161.09,SL,-0.6471,64.0619,2024
2024-03-26 00:30:00+00:00,2024-03-26 00:45:00+00:00,long,70172.18,70020.0,SL,-0.6406,63.4213,2024
2024-03-26 04:00:00+00:00,2024-03-26 05:00:00+00:00,long,70665.8,70523.09,SL,-0.6342,62.7871,2024
2024-03-26 06:30:00+00:00,2024-03-26 06:40:00+00:00,long,70558.01,70398.0,SL,-0.6279,62.1592,2024
2024-03-26 09:15:00+00:00,2024-03-26 09:45:00+00:00,long,70880.0,71199.99,TP,1.2432,63.4024,2024
2024-03-26 12:15:00+00:00,2024-03-26 13:35:00+00:00,long,70840.01,70296.13,SL,-0.634,62.7684,2024
2024-03-26 16:20:00+00:00,2024-03-26 17:25:00+00:00,short,69800.0,70057.99,SL,-0.6277,62.1407,2024
2024-03-26 18:55:00+00:00,2024-03-26 19:55:00+00:00,short,69932.0,69477.67,TP,1.2428,63.3835,2024
2024-03-26 22:05:00+00:00,2024-03-26 22:40:00+00:00,short,69880.0,70037.38,SL,-0.6338,62.7497,2024
2024-03-26 23:30:00+00:00,2024-03-27 00:30:00+00:00,short,70071.6,70243.85,SL,-0.6275,62.1222,2024
2024-03-27 02:50:00+00:00,2024-03-27 03:40:00+00:00,long,70515.99,70366.44,SL,-0.6212,61.501,2024
2024-03-27 05:15:00+00:00,2024-03-27 06:45:00+00:00,long,70384.0,70185.53,SL,-0.615,60.8859,2024
2024-03-27 08:50:00+00:00,2024-03-27 09:20:00+00:00,short,69632.92,69818.58,SL,-0.6089,60.2771,2024
2024-03-27 13:00:00+00:00,2024-03-27 13:10:00+00:00,long,70833.22,71238.79,TP,1.2055,61.4826,2024
2024-03-27 15:10:00+00:00,2024-03-27 15:40:00+00:00,short,69431.4,69140.97,TP,1.2297,62.7123,2024
2024-03-27 17:55:00+00:00,2024-03-27 19:10:00+00:00,short,68680.01,68930.02,SL,-0.6271,62.0852,2024
2024-03-27 21:55:00+00:00,2024-03-27 22:20:00+00:00,short,68941.99,69174.8,SL,-0.6209,61.4643,2024
2024-03-27 23:15:00+00:00,2024-03-27 23:50:00+00:00,short,69288.94,69559.99,SL,-0.6146,60.8497,2024
2024-03-27 23:55:00+00:00,2024-03-28 00:15:00+00:00,long,69469.99,69838.0,TP,1.217,62.0667,2024
2024-03-28 03:40:00+00:00,2024-03-28 03:50:00+00:00,short,69090.0,69281.02,SL,-0.6207,61.446,2024
2024-03-28 06:10:00+00:00,2024-03-28 06:40:00+00:00,long,69987.31,70356.98,TP,1.2289,62.6749,2024
2024-03-28 08:35:00+00:00,2024-03-28 10:15:00+00:00,long,70636.61,70490.0,SL,-0.6267,62.0482,2024
2024-03-28 10:55:00+00:00,2024-03-28 11:40:00+00:00,long,70800.0,70565.2,SL,-0.6205,61.4277,2024
