entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2024-03-25 13:35:00+00:00,2024-03-25 14:20:00+00:00,long,67166.73,68839.01,TP,2.4622,101.3551,1.0
2024-03-26 16:20:00+00:00,2024-03-27 00:55:00+00:00,short,69793.02,70498.0,SL,-1.0238,100.3314,1.0
2024-03-27 02:50:00+00:00,2024-03-27 07:25:00+00:00,long,70523.04,69810.83,SL,-1.0132,99.3181,1.0
2024-03-28 10:55:00+00:00,2024-03-29 07:30:00+00:00,long,70807.08,70092.0,SL,-1.003,98.3151,1.0
2024-03-30 03:10:00+00:00,2024-04-01 05:50:00+00:00,long,70007.01,69300.01,SL,-0.9929,97.3222,1.0
2024-04-02 17:45:00+00:00,2024-04-02 19:30:00+00:00,short,65333.47,65993.4,SL,-0.9831,96.3392,1.0
2024-04-03 06:20:00+00:00,2024-04-03 11:05:00+00:00,long,66322.77,65652.98,SL,-0.9729,95.3662,1.0
2024-04-04 11:40:00+00:00,2024-04-04 17:35:00+00:00,long,66418.44,68072.09,TP,2.3744,97.7406,1.0
2024-04-05 11:25:00+00:00,2024-04-05 13:50:00+00:00,short,66796.68,67471.39,SL,-0.9873,96.7533,1.0
2024-04-05 22:35:00+00:00,2024-04-06 23:05:00+00:00,long,67778.41,69465.92,TP,2.4089,99.1623,1.0
2024-04-07 14:40:00+00:00,2024-04-08 08:10:00+00:00,long,69501.77,71232.19,TP,2.4689,101.6311,1.0
2024-04-09 09:55:00+00:00,2024-04-09 16:50:00+00:00,short,70385.14,68632.37,TP,2.5309,104.162,1.0
2024-04-09 19:10:00+00:00,2024-04-10 02:00:00+00:00,short,68714.26,69408.34,SL,-1.0521,103.1099,1.0
2024-04-10 02:40:00+00:00,2024-04-10 06:25:00+00:00,short,68741.15,69435.5,SL,-1.0415,102.0684,1.0
2024-04-10 12:20:00+00:00,2024-04-10 17:20:00+00:00,short,68889.41,69585.26,SL,-1.031,101.0374,1.0
2024-04-10 21:55:00+00:00,2024-04-12 14:55:00+00:00,long,70024.0,69316.83,SL,-1.0204,100.017,1.0
2024-04-12 21:05:00+00:00,2024-04-13 04:35:00+00:00,short,66833.0,67508.08,SL,-1.0103,99.0067,1.0
2024-04-13 07:50:00+00:00,2024-04-13 19:50:00+00:00,short,67344.91,65667.86,TP,2.4655,101.4722,1.0
2024-04-14 11:10:00+00:00,2024-04-14 22:05:00+00:00,short,64232.74,64881.55,SL,-1.025,100.4473,1.0
2024-04-16 03:30:00+00:00,2024-04-16 21:20:00+00:00,short,63061.1,63698.08,SL,-1.0146,99.4326,1.0
2024-04-17 00:45:00+00:00,2024-04-17 07:05:00+00:00,long,64126.06,63478.45,SL,-1.0042,98.4285,1.0
2024-04-17 14:10:00+00:00,2024-04-17 15:25:00+00:00,short,62109.02,60562.35,TP,2.4511,100.8796,1.0
2024-04-17 20:45:00+00:00,2024-04-17 21:15:00+00:00,short,60993.91,61610.01,SL,-1.019,99.8606,1.0
2024-04-18 13:30:00+00:00,2024-04-18 15:05:00+00:00,long,62400.31,63953.92,TP,2.4863,102.3469,1.0
2024-04-18 22:40:00+00:00,2024-04-19 00:55:00+00:00,long,63542.34,62900.63,SL,-1.0336,101.3133,1.0
2024-04-19 11:35:00+00:00,2024-04-19 13:15:00+00:00,long,65338.56,64678.71,SL,-1.0232,100.2901,1.0
2024-04-21 01:05:00+00:00,2024-04-22 17:25:00+00:00,long,64888.09,66503.64,TP,2.497,102.7871,1.0
2024-04-22 21:55:00+00:00,2024-04-24 14:20:00+00:00,long,66533.59,65861.67,SL,-1.038,101.749,1.0
2024-04-24 18:15:00+00:00,2024-04-25 13:05:00+00:00,short,64733.53,63121.5,TP,2.5338,104.2828,1.0
2024-04-25 14:50:00+00:00,2024-04-25 15:50:00+00:00,short,63251.14,63890.04,SL,-1.0534,103.2295,1.0
2024-04-26 12:50:00+00:00,2024-04-26 14:10:00+00:00,short,63973.61,64619.81,SL,-1.0427,102.1868,1.0
2024-04-26 22:25:00+00:00,2024-04-29 05:30:00+00:00,short,63815.58,62226.41,TP,2.5447,104.7315,1.0
2024-04-30 15:20:00+00:00,2024-04-30 19:55:00+00:00,short,60932.22,59414.85,TP,2.6081,107.3396,1.0
2024-05-02 04:45:00+00:00,2024-05-02 11:00:00+00:00,short,57435.96,58016.12,SL,-1.0842,106.2553,1.0
2024-05-02 14:30:00+00:00,2024-05-03 12:40:00+00:00,long,58869.49,60335.19,TP,2.6455,108.9008,1.0
2024-05-04 00:45:00+00:00,2024-05-06 08:15:00+00:00,long,63085.72,64656.39,TP,2.7114,111.6122,1.0
2024-05-06 14:45:00+00:00,2024-05-08 09:40:00+00:00,short,63701.11,62114.79,TP,2.7794,114.3916,1.0
2024-05-08 12:30:00+00:00,2024-05-09 22:35:00+00:00,short,62243.92,62872.65,SL,-1.1555,113.2361,1.0
2024-05-10 03:55:00+00:00,2024-05-10 14:25:00+00:00,long,62922.45,62287.0,SL,-1.1436,112.0925,1.0
2024-05-11 10:35:00+00:00,2024-05-11 15:15:00+00:00,short,60743.56,61357.13,SL,-1.1322,110.9603,1.0
2024-05-11 23:35:00+00:00,2024-05-12 15:45:00+00:00,short,60847.9,61462.53,SL,-1.1208,109.8395,1.0
2024-05-12 17:50:00+00:00,2024-05-13 02:30:00+00:00,long,61638.72,61016.23,SL,-1.1093,108.7302,1.0
2024-05-13 12:30:00+00:00,2024-05-14 06:10:00+00:00,long,62775.32,62141.35,SL,-1.0981,107.6322,1.0
2024-05-14 14:50:00+00:00,2024-05-15 09:40:00+00:00,short,61599.3,62221.51,SL,-1.0872,106.545,1.0
2024-05-15 12:25:00+00:00,2024-05-15 13:25:00+00:00,long,62667.9,64228.17,TP,2.6527,109.1977,1.0
2024-05-17 01:15:00+00:00,2024-05-17 06:45:00+00:00,short,65204.74,65863.37,SL,-1.103,108.0947,1.0
2024-05-17 12:30:00+00:00,2024-05-20 16:35:00+00:00,long,66375.23,68027.8,TP,2.6913,110.7859,1.0
2024-05-20 21:55:00+00:00,2024-05-21 00:15:00+00:00,long,69724.76,71460.73,TP,2.7583,113.5442,1.0
2024-05-21 02:40:00+00:00,2024-05-21 14:25:00+00:00,long,71308.93,70588.78,SL,-1.1467,112.3976,1.0
2024-05-21 19:25:00+00:00,2024-05-21 22:35:00+00:00,short,69370.35,70071.06,SL,-1.1353,111.2622,1.0
2024-05-22 20:30:00+00:00,2024-05-23 17:55:00+00:00,short,69393.06,67665.0,TP,2.7707,114.0329,1.0
2024-05-23 20:00:00+00:00,2024-05-23 20:15:00+00:00,short,66657.34,67330.65,SL,-1.1518,112.8811,1.0
2024-05-26 01:25:00+00:00,2024-05-26 21:30:00+00:00,long,69250.92,68551.56,SL,-1.14,111.7411,1.0
2024-05-26 23:10:00+00:00,2024-05-27 01:45:00+00:00,short,68493.15,69185.0,SL,-1.1287,110.6124,1.0
2024-05-27 11:30:00+00:00,2024-05-27 14:35:00+00:00,short,68490.1,69181.92,SL,-1.1173,109.4951,1.0
2024-05-28 07:15:00+00:00,2024-05-28 10:10:00+00:00,short,67819.94,68504.99,SL,-1.106,108.3891,1.0
2024-05-28 12:40:00+00:00,2024-05-30 17:20:00+00:00,short,68293.17,68983.0,SL,-1.0948,107.2943,1.0
2024-06-01 06:10:00+00:00,2024-06-02 14:25:00+00:00,short,67659.21,68342.64,SL,-1.0838,106.2105,1.0
2024-06-03 04:40:00+00:00,2024-06-03 13:45:00+00:00,long,68430.45,70134.2,TP,2.6444,108.8549,1.0
2024-06-04 04:30:00+00:00,2024-06-04 18:20:00+00:00,long,69271.93,70996.62,TP,2.7102,111.5651,1.0
2024-06-05 00:20:00+00:00,2024-06-07 17:55:00+00:00,long,70637.05,69923.69,SL,-1.1267,110.4384,1.0
2024-06-09 02:15:00+00:00,2024-06-10 15:30:00+00:00,short,69243.07,69942.5,SL,-1.1155,109.3228,1.0
2024-06-11 00:35:00+00:00,2024-06-11 06:20:00+00:00,short,69433.05,67703.99,TP,2.7224,112.0452,1.0
2024-06-11 13:45:00+00:00,2024-06-11 19:50:00+00:00,short,66825.35,67500.35,SL,-1.1318,110.9135,1.0
2024-06-12 12:25:00+00:00,2024-06-12 14:15:00+00:00,long,68016.8,69710.25,TP,2.7615,113.6749,1.0
2024-06-13 01:20:00+00:00,2024-06-14 15:55:00+00:00,short,68137.18,66440.39,TP,2.8308,116.5057,1.0
2024-06-15 06:05:00+00:00,2024-06-17 10:00:00+00:00,long,66378.64,65708.28,SL,-1.1766,115.3291,1.0
2024-06-17 12:00:00+00:00,2024-06-17 17:35:00+00:00,short,65773.45,66437.83,SL,-1.1649,114.1642,1.0
2024-06-17 22:45:00+00:00,2024-06-18 00:45:00+00:00,long,66641.62,65968.61,SL,-1.1529,113.0113,1.0
