strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
v1 Original,2026-04-13 18:55:00+00:00,2026-04-13 19:25:00+00:00,long,72457.69,72844.98,TP,3.9099,199.4034,2026-04
v1 Original,2026-04-13 22:15:00+00:00,2026-04-13 22:50:00+00:00,long,74253.0,74574.12,TP,3.9881,203.3915,2026-04
v1 Original,2026-04-14 01:50:00+00:00,2026-04-14 05:55:00+00:00,long,74426.34,74209.84,SL,-2.0339,201.3576,2026-04
v1 Original,2026-04-14 06:15:00+00:00,2026-04-14 07:10:00+00:00,long,74412.57,74758.68,TP,4.0272,205.3848,2026-04
v1 Original,2026-04-14 08:30:00+00:00,2026-04-14 09:40:00+00:00,long,74779.54,74553.38,SL,-2.0538,203.3309,2026-04
v1 Original,2026-04-14 11:55:00+00:00,2026-04-14 12:25:00+00:00,long,74456.0,74297.02,SL,-2.0333,201.2976,2026-04
v1 Original,2026-04-14 12:35:00+00:00,2026-04-14 13:15:00+00:00,long,74355.46,74687.57,TP,4.026,205.3235,2026-04
v1 Original,2026-04-14 15:50:00+00:00,2026-04-14 16:45:00+00:00,long,75378.64,75186.48,SL,-2.0532,203.2703,2026-04
v1 Original,2026-04-14 18:00:00+00:00,2026-04-14 18:20:00+00:00,long,74787.96,74623.05,SL,-2.0327,201.2376,2026-04
v1 Original,2026-04-14 18:30:00+00:00,2026-04-14 18:45:00+00:00,short,74493.91,73946.85,TP,4.0248,205.2624,2026-04
v1 Original,2026-04-14 21:35:00+00:00,2026-04-14 21:50:00+00:00,short,74085.11,74255.59,SL,-2.0526,203.2097,2026-04
v1 Original,2026-04-14 22:25:00+00:00,2026-04-14 22:50:00+00:00,short,73964.49,74115.49,SL,-2.0321,201.1776,2026-04
v1 Original,2026-04-15 05:05:00+00:00,2026-04-15 05:35:00+00:00,short,74272.0,73934.22,TP,4.0236,205.2012,2026-04
v1 Original,2026-04-15 07:15:00+00:00,2026-04-15 08:10:00+00:00,short,73684.36,73876.66,SL,-2.052,203.1492,2026-04
v1 Original,2026-04-15 09:25:00+00:00,2026-04-15 10:05:00+00:00,short,73980.03,74161.77,SL,-2.0315,201.1177,2026-04
v1 Original,2026-04-15 10:20:00+00:00,2026-04-15 11:50:00+00:00,short,74010.29,74247.79,SL,-2.0112,199.1065,2026-04
v1 Original,2026-04-15 14:20:00+00:00,2026-04-15 14:35:00+00:00,long,74464.42,74013.13,SL,-1.9911,197.1154,2026-04
v1 Original,2026-04-15 14:40:00+00:00,2026-04-15 14:45:00+00:00,short,73977.29,74126.08,SL,-1.9712,195.1443,2026-04
v1 Original,2026-04-15 15:10:00+00:00,2026-04-15 15:20:00+00:00,long,74311.38,74068.79,SL,-1.9514,193.1929,2026-04
v1 Original,2026-04-15 16:50:00+00:00,2026-04-15 17:00:00+00:00,short,73861.47,74083.71,SL,-1.9319,191.2609,2026-04
v1 Original,2026-04-15 22:00:00+00:00,2026-04-15 23:00:00+00:00,long,75013.31,74848.65,SL,-1.9126,189.3483,2026-04
v1 Original,2026-04-16 00:35:00+00:00,2026-04-16 01:05:00+00:00,long,74799.53,74614.53,SL,-1.8935,187.4548,2026-04
v1 Original,2026-04-16 01:40:00+00:00,2026-04-16 02:35:00+00:00,long,74705.15,75071.22,TP,3.7491,191.2039,2026-04
v1 Original,2026-04-16 04:40:00+00:00,2026-04-16 04:45:00+00:00,long,75130.84,74845.88,SL,-1.912,189.2919,2026-04
