entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-10-16 16:15:00+00:00,2023-10-19 16:20:00+00:00,long,28155.09,28856.08,TP,2.1188,87.2213,1.0
2023-10-19 20:40:00+00:00,2023-10-20 08:25:00+00:00,long,28836.56,29554.52,TP,2.1716,89.3929,1.0
2023-10-20 10:15:00+00:00,2023-10-20 12:25:00+00:00,long,29965.53,29662.9,SL,-0.9028,88.4901,1.0
2023-10-20 23:00:00+00:00,2023-10-23 03:25:00+00:00,long,29686.52,30425.64,TP,2.2032,90.6933,1.0
2023-10-23 03:40:00+00:00,2023-10-23 17:05:00+00:00,long,30499.32,31258.68,TP,2.258,92.9513,1.0
2023-10-23 18:55:00+00:00,2023-10-23 22:25:00+00:00,long,31171.42,31947.51,TP,2.3143,95.2656,1.0
2023-10-24 00:30:00+00:00,2023-10-24 02:00:00+00:00,long,33533.35,34368.25,TP,2.3719,97.6375,1.0
2023-10-24 05:15:00+00:00,2023-10-24 05:45:00+00:00,long,34479.44,34131.23,SL,-0.986,96.6514,1.0
2023-10-24 10:35:00+00:00,2023-10-24 15:15:00+00:00,long,34448.65,34100.76,SL,-0.9761,95.6753,1.0
2023-10-25 10:30:00+00:00,2023-10-25 16:10:00+00:00,long,34183.43,35034.51,TP,2.3821,98.0574,1.0
2023-10-26 03:00:00+00:00,2023-10-26 09:25:00+00:00,long,34774.45,34423.26,SL,-0.9903,97.0671,1.0
2023-10-26 10:35:00+00:00,2023-10-27 18:25:00+00:00,short,34336.76,33481.68,TP,2.4172,99.4844,1.0
2023-10-28 05:00:00+00:00,2023-11-01 20:45:00+00:00,long,34121.76,34971.31,TP,2.4769,101.9613,1.0
2023-11-02 00:10:00+00:00,2023-11-02 06:05:00+00:00,long,35544.32,35185.36,SL,-1.0297,100.9316,1.0
2023-11-02 12:35:00+00:00,2023-11-02 13:40:00+00:00,long,35429.19,35071.39,SL,-1.0193,99.9123,1.0
2023-11-02 15:20:00+00:00,2023-11-02 20:05:00+00:00,short,34664.92,35015.07,SL,-1.0092,98.903,1.0
2023-11-03 00:25:00+00:00,2023-11-04 22:50:00+00:00,short,34767.95,35119.14,SL,-0.999,97.904,1.0
2023-11-05 01:45:00+00:00,2023-11-05 21:50:00+00:00,long,35028.19,34674.44,SL,-0.9887,96.9153,1.0
2023-11-06 01:00:00+00:00,2023-11-07 10:05:00+00:00,long,35071.21,34717.02,SL,-0.9787,95.9365,1.0
2023-11-07 12:05:00+00:00,2023-11-07 18:05:00+00:00,short,34564.33,34913.47,SL,-0.9691,94.9675,1.0
2023-11-07 20:45:00+00:00,2023-11-07 22:10:00+00:00,long,35687.6,35327.19,SL,-0.9591,94.0084,1.0
2023-11-08 10:10:00+00:00,2023-11-09 02:20:00+00:00,long,35328.9,36208.5,TP,2.3406,96.349,1.0
2023-11-09 03:30:00+00:00,2023-11-09 14:10:00+00:00,long,36495.69,37404.34,TP,2.3988,98.7478,1.0
2023-11-09 19:15:00+00:00,2023-11-09 21:00:00+00:00,short,36214.77,36580.57,SL,-0.9975,97.7504,1.0
2023-11-10 12:55:00+00:00,2023-11-11 22:10:00+00:00,long,37189.04,36813.47,SL,-0.9872,96.7632,1.0
2023-11-11 23:05:00+00:00,2023-11-12 15:00:00+00:00,short,36822.96,37194.91,SL,-0.9774,95.7858,1.0
2023-11-12 15:40:00+00:00,2023-11-13 05:10:00+00:00,long,37201.1,36825.41,SL,-0.9673,94.8185,1.0
2023-11-13 06:30:00+00:00,2023-11-14 18:10:00+00:00,short,36818.06,35901.2,TP,2.3612,97.1797,1.0
2023-11-15 01:30:00+00:00,2023-11-15 09:15:00+00:00,short,35485.11,35843.55,SL,-0.9816,96.1981,1.0
2023-11-15 10:55:00+00:00,2023-11-15 18:10:00+00:00,long,35872.15,36765.27,TP,2.3951,98.5931,1.0
2023-11-15 22:40:00+00:00,2023-11-16 02:00:00+00:00,long,37761.56,37380.2,SL,-0.9957,97.5975,1.0
2023-11-16 15:45:00+00:00,2023-11-16 19:35:00+00:00,short,36475.63,35567.3,TP,2.4304,100.0279,1.0
2023-11-17 07:05:00+00:00,2023-11-17 23:05:00+00:00,short,36284.36,36650.87,SL,-1.0104,99.0175,1.0
2023-11-18 05:45:00+00:00,2023-11-18 16:05:00+00:00,short,36319.42,36686.28,SL,-1.0002,98.0173,1.0
2023-11-18 18:40:00+00:00,2023-11-20 16:00:00+00:00,long,36676.19,37589.33,TP,2.4404,100.4577,1.0
2023-11-20 18:45:00+00:00,2023-11-21 11:25:00+00:00,long,37584.09,37204.53,SL,-1.0145,99.4432,1.0
2023-11-21 13:35:00+00:00,2023-11-21 23:25:00+00:00,short,37092.88,36169.17,TP,2.4764,101.9196,1.0
2023-11-22 13:20:00+00:00,2023-11-22 18:15:00+00:00,short,36460.69,36828.98,SL,-1.0295,100.8901,1.0
2023-11-22 20:40:00+00:00,2023-11-23 15:20:00+00:00,long,37473.75,37095.3,SL,-1.0189,99.8712,1.0
2023-11-23 21:10:00+00:00,2023-11-24 15:35:00+00:00,long,37355.76,38285.82,TP,2.4865,102.3577,1.0
2023-11-25 02:40:00+00:00,2023-11-26 14:15:00+00:00,long,37798.01,37416.29,SL,-1.0337,101.324,1.0
2023-11-26 16:25:00+00:00,2023-11-26 22:00:00+00:00,short,37289.22,37665.88,SL,-1.0235,100.3005,1.0
2023-11-27 02:00:00+00:00,2023-11-28 16:45:00+00:00,short,37442.99,37821.2,SL,-1.0131,99.2874,1.0
2023-11-28 19:40:00+00:00,2023-11-28 22:50:00+00:00,long,38290.34,37903.64,SL,-1.0027,98.2847,1.0
2023-11-29 03:05:00+00:00,2023-11-30 14:00:00+00:00,long,37973.01,37589.52,SL,-0.9926,97.2921,1.0
2023-11-30 15:40:00+00:00,2023-12-01 01:35:00+00:00,short,37573.21,37952.74,SL,-0.9827,96.3094,1.0
2023-12-01 02:40:00+00:00,2023-12-01 16:30:00+00:00,long,37969.8,38915.15,TP,2.3979,98.7072,1.0
2023-12-01 19:55:00+00:00,2023-12-03 15:45:00+00:00,long,38766.28,39731.46,TP,2.4576,101.1648,1.0
2023-12-03 16:45:00+00:00,2023-12-04 01:45:00+00:00,long,39760.91,40750.85,TP,2.5188,103.6836,1.0
2023-12-04 03:25:00+00:00,2023-12-04 10:35:00+00:00,long,40876.13,41893.84,TP,2.5815,106.265,1.0
2023-12-04 18:30:00+00:00,2023-12-05 17:00:00+00:00,long,41707.53,42745.94,TP,2.6457,108.9108,1.0
2023-12-05 18:35:00+00:00,2023-12-07 09:10:00+00:00,long,43882.38,43439.21,SL,-1.0999,107.8109,1.0
2023-12-07 10:15:00+00:00,2023-12-07 15:05:00+00:00,short,43126.04,43561.65,SL,-1.089,106.7219,1.0
2023-12-08 06:10:00+00:00,2023-12-08 21:20:00+00:00,long,43487.78,44570.52,TP,2.6571,109.379,1.0
2023-12-09 04:15:00+00:00,2023-12-09 08:40:00+00:00,long,44246.47,43799.63,SL,-1.1046,108.2744,1.0
2023-12-09 11:30:00+00:00,2023-12-11 02:10:00+00:00,short,43793.32,42702.76,TP,2.6963,110.9707,1.0
2023-12-11 05:35:00+00:00,2023-12-11 10:05:00+00:00,short,41983.41,42407.49,SL,-1.1209,109.8497,1.0
2023-12-11 15:45:00+00:00,2023-12-11 18:25:00+00:00,short,41769.36,40729.2,TP,2.7355,112.5853,1.0
2023-12-11 19:15:00+00:00,2023-12-11 21:05:00+00:00,short,40587.82,40997.8,SL,-1.1372,111.4481,1.0
2023-12-12 06:05:00+00:00,2023-12-12 07:40:00+00:00,short,41458.13,41876.9,SL,-1.1257,110.3223,1.0
2023-12-12 08:45:00+00:00,2023-12-12 11:55:00+00:00,long,42018.2,41593.86,SL,-1.1141,109.2082,1.0
2023-12-12 16:05:00+00:00,2023-12-13 15:00:00+00:00,short,41190.99,41607.06,SL,-1.1031,108.1051,1.0
2023-12-13 17:45:00+00:00,2023-12-13 21:50:00+00:00,long,42105.3,43153.62,TP,2.6915,110.7966,1.0
2023-12-13 21:55:00+00:00,2023-12-14 13:25:00+00:00,long,42992.79,42558.6,SL,-1.1189,109.6777,1.0
2023-12-14 15:25:00+00:00,2023-12-14 17:10:00+00:00,short,42323.16,42750.66,SL,-1.1079,108.5698,1.0
2023-12-14 19:50:00+00:00,2023-12-15 05:55:00+00:00,long,43036.3,42601.68,SL,-1.0964,107.4734,1.0
2023-12-15 12:50:00+00:00,2023-12-17 23:30:00+00:00,short,42623.72,41562.28,TP,2.6764,110.1497,1.0
2023-12-18 01:30:00+00:00,2023-12-18 14:25:00+00:00,short,41073.91,41488.8,SL,-1.1126,109.0371,1.0
2023-12-18 18:40:00+00:00,2023-12-18 21:45:00+00:00,long,41552.84,42587.41,TP,2.7148,111.7519,1.0
