strategy,entry_time,exit_time,direction,entry,exit,result,risk_used,pnl,capital,streak
U2. Momentum Score,2026-03-24 19:40:00+00:00,2026-03-24 20:20:00+00:00,short,69440.61,69833.77,SL ❌,0.9355,-0.9355,92.616,-1
U2. Momentum Score,2026-03-25 08:10:00+00:00,2026-03-25 08:15:00+00:00,short,70795.35,70965.91,SL ❌,0.9262,-0.9262,91.6898,-2
U2. Momentum Score,2026-03-25 08:25:00+00:00,2026-03-25 08:30:00+00:00,long,71214.69,71468.23,TP ✅,0.4584,1.1461,92.8359,1
U2. Momentum Score,2026-03-25 10:00:00+00:00,2026-03-25 10:45:00+00:00,long,71323.45,71534.49,TP ✅,0.9284,2.3209,95.1568,2
U2. Momentum Score,2026-03-25 13:00:00+00:00,2026-03-25 13:15:00+00:00,long,71759.34,71617.9,SL ❌,1.4274,-1.4274,93.7295,-1
U2. Momentum Score,2026-03-25 17:15:00+00:00,2026-03-25 17:25:00+00:00,short,70956.2,71155.15,SL ❌,0.9373,-0.9373,92.7922,-2
U2. Momentum Score,2026-03-25 18:30:00+00:00,2026-03-25 19:35:00+00:00,short,70915.25,70945.48,BE 〰,0.464,0.0,92.7922,0
U2. Momentum Score,2026-03-25 19:55:00+00:00,2026-03-25 20:40:00+00:00,short,70781.01,70892.05,SL ❌,0.9279,-0.9279,91.8643,-1
U2. Momentum Score,2026-03-26 08:10:00+00:00,2026-03-26 09:05:00+00:00,short,69924.09,70075.05,SL ❌,0.9186,-0.9186,90.9456,-2
U2. Momentum Score,2026-03-26 09:15:00+00:00,2026-03-26 09:20:00+00:00,short,69870.55,69950.63,SL ❌,0.4547,-0.4547,90.4909,-3
U2. Momentum Score,2026-03-26 09:30:00+00:00,2026-03-26 10:15:00+00:00,short,69518.16,69617.96,SL ❌,0.4525,-0.4525,90.0384,-4
U2. Momentum Score,2026-03-26 10:45:00+00:00,2026-03-26 11:00:00+00:00,short,69502.05,69593.64,SL ❌,0.4502,-0.4502,89.5882,-5
U2. Momentum Score,2026-03-26 12:45:00+00:00,2026-03-26 13:05:00+00:00,short,69386.9,69461.92,SL ❌,0.4479,-0.4479,89.1403,-6
