entry_time,exit_time,direction,entry,exit,result,pnl,capital,spread_on
2026-03-18 07:00:00+00:00,2026-03-18 08:50:00+00:00,short,73978.35,74104.51,SL,-1.1239,88.7856,True
2026-03-18 10:05:00+00:00,2026-03-18 10:10:00+00:00,short,74130.66,74261.8,SL,-1.1098,87.6757,True
2026-03-18 10:15:00+00:00,2026-03-18 10:35:00+00:00,long,74242.39,74036.17,SL,-1.0959,86.5798,True
2026-03-18 14:25:00+00:00,2026-03-18 14:35:00+00:00,short,71651.88,71811.43,SL,-1.0822,85.4975,True
2026-03-18 18:40:00+00:00,2026-03-18 18:50:00+00:00,short,71643.0,71300.87,TP,1.4962,86.9937,True
2026-03-18 22:00:00+00:00,2026-03-18 23:00:00+00:00,short,71139.2,71250.16,SL,-1.0874,85.9063,True
2026-03-19 00:10:00+00:00,2026-03-19 03:15:00+00:00,short,71143.01,71462.11,SL,-1.0738,84.8325,True
2026-03-19 03:50:00+00:00,2026-03-19 04:05:00+00:00,short,71276.49,70845.98,TP,1.4846,86.3171,True
2026-03-19 05:30:00+00:00,2026-03-19 05:40:00+00:00,short,70713.87,70845.66,SL,-1.079,85.2381,True
2026-03-19 06:35:00+00:00,2026-03-19 07:10:00+00:00,short,70630.13,70064.73,TP,1.4917,86.7298,True
2026-03-19 10:35:00+00:00,2026-03-19 11:55:00+00:00,short,70259.09,69915.0,TP,1.5178,88.2475,True
2026-03-19 14:25:00+00:00,2026-03-19 14:30:00+00:00,short,69164.67,69271.68,SL,-1.1031,87.1444,True
2026-03-19 15:30:00+00:00,2026-03-19 15:40:00+00:00,short,69248.59,68932.9,TP,1.525,88.6695,True
2026-03-19 17:05:00+00:00,2026-03-19 17:15:00+00:00,short,69220.39,69367.39,SL,-1.1084,87.5611,True
2026-03-19 18:30:00+00:00,2026-03-19 18:55:00+00:00,short,69638.48,69842.75,SL,-1.0945,86.4666,True
2026-03-19 21:10:00+00:00,2026-03-19 21:25:00+00:00,long,70681.62,70565.41,SL,-1.0808,85.3858,True
2026-03-20 03:00:00+00:00,2026-03-20 04:05:00+00:00,long,70469.5,70927.35,TP,1.4943,86.88,True
2026-03-20 07:25:00+00:00,2026-03-20 07:40:00+00:00,long,70473.34,70811.85,TP,1.5204,88.4004,True
2026-03-20 10:40:00+00:00,2026-03-20 11:35:00+00:00,long,70536.02,70411.9,SL,-1.105,87.2954,True
2026-03-20 11:40:00+00:00,2026-03-20 12:05:00+00:00,short,70396.48,70647.55,SL,-1.0912,86.2042,True
2026-03-20 12:30:00+00:00,2026-03-20 13:20:00+00:00,short,70386.37,70514.73,SL,-1.0776,85.1267,True
2026-03-20 13:30:00+00:00,2026-03-20 13:40:00+00:00,short,70031.23,70305.11,SL,-1.0641,84.0626,True
2026-03-20 15:00:00+00:00,2026-03-20 15:20:00+00:00,short,69666.51,69947.23,SL,-1.0508,83.0118,True
2026-03-20 16:40:00+00:00,2026-03-20 17:05:00+00:00,short,69778.95,69904.6,SL,-1.0376,81.9741,True
2026-03-20 17:15:00+00:00,2026-03-20 17:55:00+00:00,short,69801.35,69953.97,SL,-1.0247,80.9495,True
2026-03-20 18:30:00+00:00,2026-03-20 18:50:00+00:00,short,69663.38,69823.45,SL,-1.0119,79.9376,True
2026-03-20 20:30:00+00:00,2026-03-20 20:45:00+00:00,short,69826.31,69991.27,SL,-0.9992,78.9384,True
2026-03-20 21:15:00+00:00,2026-03-20 22:05:00+00:00,long,70492.48,70821.15,TP,1.3814,80.3198,True
2026-03-21 00:20:00+00:00,2026-03-21 00:45:00+00:00,long,70698.3,70583.59,SL,-1.004,79.3158,True
2026-03-21 00:55:00+00:00,2026-03-21 01:30:00+00:00,long,70695.88,70550.93,SL,-0.9914,78.3244,True
2026-03-21 02:25:00+00:00,2026-03-21 08:20:00+00:00,long,70664.18,70542.97,SL,-0.9791,77.3453,True
2026-03-21 09:05:00+00:00,2026-03-21 10:15:00+00:00,long,70695.07,70588.37,SL,-0.9668,76.3785,True
2026-03-21 11:00:00+00:00,2026-03-21 14:10:00+00:00,long,70591.21,70971.23,TP,1.3366,77.7151,True
2026-03-21 19:35:00+00:00,2026-03-21 20:20:00+00:00,short,70346.77,70455.83,SL,-0.9714,76.7437,True
2026-03-21 21:10:00+00:00,2026-03-21 23:45:00+00:00,short,70364.41,69667.4,TP,1.343,78.0867,True
2026-03-22 04:20:00+00:00,2026-03-22 07:55:00+00:00,short,69262.16,68923.31,TP,1.3665,79.4532,True
2026-03-22 10:40:00+00:00,2026-03-22 11:45:00+00:00,short,68616.57,68285.59,TP,1.3904,80.8436,True
2026-03-22 13:40:00+00:00,2026-03-22 13:55:00+00:00,short,68583.57,68732.06,SL,-1.0105,79.8331,True
2026-03-22 14:50:00+00:00,2026-03-22 15:05:00+00:00,short,68701.84,68875.44,SL,-0.9979,78.8352,True
2026-03-22 15:35:00+00:00,2026-03-22 16:00:00+00:00,short,68756.6,68860.49,SL,-0.9854,77.8497,True
2026-03-22 17:35:00+00:00,2026-03-22 19:15:00+00:00,short,68699.15,68325.16,TP,1.3624,79.2121,True
2026-03-22 21:00:00+00:00,2026-03-22 21:10:00+00:00,short,68131.38,67733.65,TP,1.3862,80.5983,True
2026-03-22 23:30:00+00:00,2026-03-22 23:40:00+00:00,short,68002.54,68134.67,SL,-1.0075,79.5908,True
2026-03-23 02:15:00+00:00,2026-03-23 02:20:00+00:00,short,67854.73,68016.36,SL,-0.9949,78.596,True
2026-03-23 03:25:00+00:00,2026-03-23 04:35:00+00:00,short,68181.44,68340.01,SL,-0.9825,77.6135,True
2026-03-23 09:00:00+00:00,2026-03-23 09:35:00+00:00,short,68339.0,67975.23,TP,1.3582,78.9717,True
2026-03-23 10:05:00+00:00,2026-03-23 10:40:00+00:00,long,68483.61,68377.15,SL,-0.9871,77.9846,True
2026-03-23 13:40:00+00:00,2026-03-23 13:45:00+00:00,long,71324.69,71018.5,SL,-0.9748,77.0098,True
2026-03-23 13:50:00+00:00,2026-03-23 14:05:00+00:00,long,71348.94,71696.08,TP,1.3477,78.3575,True
2026-03-23 16:45:00+00:00,2026-03-23 16:50:00+00:00,long,70680.66,70563.74,SL,-0.9795,77.378,True
2026-03-23 20:35:00+00:00,2026-03-23 22:00:00+00:00,long,70911.94,70648.49,SL,-0.9672,76.4108,True
2026-03-23 22:55:00+00:00,2026-03-23 23:05:00+00:00,long,70759.26,70630.91,SL,-0.9551,75.4556,True
2026-03-23 23:35:00+00:00,2026-03-24 00:30:00+00:00,long,70684.2,70576.35,SL,-0.9432,74.5124,True
2026-03-24 01:25:00+00:00,2026-03-24 01:30:00+00:00,long,70832.52,70725.49,SL,-0.9314,73.581,True
2026-03-24 02:40:00+00:00,2026-03-24 03:00:00+00:00,long,70514.84,70402.66,SL,-0.9198,72.6613,True
2026-03-24 03:15:00+00:00,2026-03-24 04:30:00+00:00,long,70518.61,70343.0,SL,-0.9083,71.753,True
2026-03-24 09:40:00+00:00,2026-03-24 11:00:00+00:00,long,71206.3,71022.27,SL,-0.8969,70.8561,True
2026-03-24 11:45:00+00:00,2026-03-24 11:50:00+00:00,long,71291.58,71038.44,SL,-0.8857,69.9704,True
2026-03-24 16:35:00+00:00,2026-03-24 17:05:00+00:00,short,69631.62,69197.73,TP,1.2245,71.1949,True
2026-03-24 19:45:00+00:00,2026-03-24 20:15:00+00:00,short,69308.58,69419.38,SL,-0.8899,70.3049,True
2026-03-24 21:25:00+00:00,2026-03-24 21:35:00+00:00,short,70002.57,70142.66,SL,-0.8788,69.4261,True
2026-03-24 23:20:00+00:00,2026-03-25 00:40:00+00:00,long,70536.24,70919.99,TP,1.215,70.6411,True
2026-03-25 03:35:00+00:00,2026-03-25 05:05:00+00:00,long,70728.9,71228.63,TP,1.2362,71.8773,True
2026-03-25 08:25:00+00:00,2026-03-25 10:50:00+00:00,long,71214.69,71548.23,TP,1.2579,73.1351,True
2026-03-25 13:00:00+00:00,2026-03-25 13:15:00+00:00,long,71759.34,71617.9,SL,-0.9142,72.221,True
2026-03-25 17:15:00+00:00,2026-03-25 17:20:00+00:00,short,70956.2,71070.68,SL,-0.9028,71.3182,True
2026-03-25 18:40:00+00:00,2026-03-25 18:50:00+00:00,short,70788.23,70914.41,SL,-0.8915,70.4267,True
2026-03-25 18:55:00+00:00,2026-03-25 19:05:00+00:00,short,70758.75,70888.4,SL,-0.8803,69.5464,True
2026-03-25 20:00:00+00:00,2026-03-25 20:40:00+00:00,short,70733.35,70892.05,SL,-0.8693,68.6771,True
2026-03-25 22:10:00+00:00,2026-03-25 22:30:00+00:00,short,70998.22,71136.4,SL,-0.8585,67.8186,True
2026-03-26 03:20:00+00:00,2026-03-26 03:35:00+00:00,short,70718.3,70843.7,SL,-0.8477,66.9709,True
2026-03-26 05:05:00+00:00,2026-03-26 05:50:00+00:00,short,70539.59,70103.61,TP,1.172,68.1428,True
2026-03-26 08:25:00+00:00,2026-03-26 08:45:00+00:00,short,69824.25,69929.93,SL,-0.8518,67.2911,True
2026-03-26 09:30:00+00:00,2026-03-26 10:20:00+00:00,short,69518.16,69652.8,SL,-0.8411,66.4499,True
2026-03-26 11:25:00+00:00,2026-03-26 11:35:00+00:00,short,69289.4,69401.47,SL,-0.8306,65.6193,True
2026-03-26 11:55:00+00:00,2026-03-26 12:20:00+00:00,short,69264.13,69368.45,SL,-0.8202,64.7991,True
2026-03-26 14:45:00+00:00,2026-03-26 15:10:00+00:00,short,69441.44,69105.02,TP,1.134,65.933,True
2026-03-26 16:35:00+00:00,2026-03-26 17:00:00+00:00,short,68852.15,68975.84,SL,-0.8242,65.1089,True
2026-03-26 17:50:00+00:00,2026-03-26 18:00:00+00:00,short,68735.6,68365.4,TP,1.1394,66.2483,True
2026-03-26 21:00:00+00:00,2026-03-26 21:20:00+00:00,short,68890.75,69130.95,SL,-0.8281,65.4202,True
2026-03-27 00:35:00+00:00,2026-03-27 00:40:00+00:00,short,68548.35,68670.47,SL,-0.8178,64.6024,True
2026-03-27 02:40:00+00:00,2026-03-27 04:00:00+00:00,short,68881.96,68553.09,TP,1.1305,65.733,True
2026-03-27 06:55:00+00:00,2026-03-27 07:10:00+00:00,short,68615.82,68815.74,SL,-0.8217,64.9113,True
2026-03-27 07:40:00+00:00,2026-03-27 08:30:00+00:00,short,68585.55,68232.57,TP,1.1359,66.0473,True
2026-03-27 10:35:00+00:00,2026-03-27 10:55:00+00:00,short,67025.74,66486.01,TP,1.1558,67.2031,True
2026-03-27 13:50:00+00:00,2026-03-27 14:20:00+00:00,short,66204.32,65867.48,TP,1.1761,68.3791,True
2026-03-27 16:05:00+00:00,2026-03-27 16:10:00+00:00,short,65794.7,65918.55,SL,-0.8547,67.5244,True
2026-03-27 17:30:00+00:00,2026-03-27 19:25:00+00:00,short,65768.98,65887.35,SL,-0.8441,66.6803,True
