strategy,entry_time,exit_time,direction,entry,exit,result,pnl,capital
S3. Breakout + Momentum,2024-01-02 00:05:00+00:00,2024-01-02 00:10:00+00:00,long,44398.44,44630.09,TP ✅,1.4521,74.0577
S3. Breakout + Momentum,2024-01-02 00:20:00+00:00,2024-01-02 00:25:00+00:00,long,44751.93,44609.79,SL ❌,-0.7406,73.3172
S3. Breakout + Momentum,2024-01-02 00:55:00+00:00,2024-01-02 01:10:00+00:00,long,45056.0,44841.22,SL ❌,-0.7332,72.584
S3. Breakout + Momentum,2024-01-02 07:05:00+00:00,2024-01-02 07:40:00+00:00,long,45335.81,45526.42,TP ✅,1.4517,74.0357
S3. Breakout + Momentum,2024-01-02 08:15:00+00:00,2024-01-02 10:00:00+00:00,long,45727.32,45610.99,SL ❌,-0.7404,73.2953
S3. Breakout + Momentum,2024-01-02 10:45:00+00:00,2024-01-02 11:00:00+00:00,short,45501.99,45642.27,SL ❌,-0.733,72.5624
S3. Breakout + Momentum,2024-01-02 11:35:00+00:00,2024-01-02 11:55:00+00:00,short,45322.0,45433.99,SL ❌,-0.7256,71.8367
S3. Breakout + Momentum,2024-01-02 13:40:00+00:00,2024-01-02 14:30:00+00:00,long,45662.48,45531.12,SL ❌,-0.7184,71.1184
S3. Breakout + Momentum,2024-01-02 14:45:00+00:00,2024-01-02 15:15:00+00:00,short,45202.0,44839.97,TP ✅,1.4224,72.5407
S3. Breakout + Momentum,2024-01-02 19:25:00+00:00,2024-01-02 19:30:00+00:00,short,44873.99,44988.92,SL ❌,-0.7254,71.8153
S3. Breakout + Momentum,2024-01-02 22:05:00+00:00,2024-01-02 22:10:00+00:00,long,45246.32,45153.59,SL ❌,-0.7182,71.0972
S3. Breakout + Momentum,2024-01-03 00:45:00+00:00,2024-01-03 00:50:00+00:00,long,45186.24,45048.18,SL ❌,-0.711,70.3862
S3. Breakout + Momentum,2024-01-03 01:50:00+00:00,2024-01-03 03:30:00+00:00,long,45297.37,45197.51,SL ❌,-0.7039,69.6823
S3. Breakout + Momentum,2024-01-03 06:55:00+00:00,2024-01-03 07:40:00+00:00,long,45326.93,45150.27,SL ❌,-0.6968,68.9855
S3. Breakout + Momentum,2024-01-03 07:45:00+00:00,2024-01-03 08:25:00+00:00,short,45064.73,45164.67,SL ❌,-0.6899,68.2957
S3. Breakout + Momentum,2024-01-03 09:25:00+00:00,2024-01-03 10:20:00+00:00,long,45354.38,45261.41,SL ❌,-0.683,67.6127
S3. Breakout + Momentum,2024-01-03 10:40:00+00:00,2024-01-03 11:10:00+00:00,short,45070.27,44736.81,TP ✅,1.3523,68.965
S3. Breakout + Momentum,2024-01-03 11:20:00+00:00,2024-01-03 11:45:00+00:00,short,44535.48,44328.24,TP ✅,1.3793,70.3443
S3. Breakout + Momentum,2024-01-03 11:50:00+00:00,2024-01-03 11:55:00+00:00,short,44076.0,43702.88,TP ✅,1.4069,71.7512
S3. Breakout + Momentum,2024-01-03 12:00:00+00:00,2024-01-03 12:05:00+00:00,short,42964.97,40887.99,TP ✅,1.435,73.1862
S3. Breakout + Momentum,2024-01-03 15:50:00+00:00,2024-01-03 16:00:00+00:00,long,42831.38,43465.57,TP ✅,1.4637,74.6499
