entry_time,exit_time,direction,entry,exit,result,pnl,capital,month
2024-09-20 07:15:00+00:00,2024-09-20 08:30:00+00:00,SHORT,63520.16,63202.56,TP,0.5699,23.3651,2024-09
2024-09-20 10:35:00+00:00,2024-09-20 11:25:00+00:00,LONG,63619.43,63492.19,SL,-0.2337,23.1315,2024-09
2024-09-20 11:30:00+00:00,2024-09-20 12:05:00+00:00,SHORT,63406.37,63533.18,SL,-0.2313,22.9002,2024-09
2024-09-20 14:25:00+00:00,2024-09-20 14:50:00+00:00,LONG,63251.28,63124.78,SL,-0.229,22.6712,2024-09
2024-09-20 17:25:00+00:00,2024-09-20 18:05:00+00:00,SHORT,62712.48,62398.92,TP,0.5668,23.2379,2024-09
2024-09-20 19:15:00+00:00,2024-09-20 19:55:00+00:00,LONG,62973.18,62847.23,SL,-0.2324,23.0056,2024-09
2024-09-20 23:05:00+00:00,2024-09-20 23:30:00+00:00,SHORT,63058.78,63184.89,SL,-0.2301,22.7755,2024-09
2024-09-21 00:20:00+00:00,2024-09-21 00:25:00+00:00,LONG,63309.3,63182.68,SL,-0.2278,22.5477,2024-09
2024-09-21 01:10:00+00:00,2024-09-21 12:55:00+00:00,SHORT,63008.88,63134.89,SL,-0.2255,22.3223,2024-09
2024-09-21 15:05:00+00:00,2024-09-21 17:10:00+00:00,SHORT,63140.73,63267.02,SL,-0.2232,22.099,2024-09
2024-09-21 17:10:00+00:00,2024-09-21 19:20:00+00:00,LONG,63347.33,63220.63,SL,-0.221,21.8781,2024-09
2024-09-21 19:20:00+00:00,2024-09-21 23:30:00+00:00,SHORT,63168.73,63295.07,SL,-0.2188,21.6593,2024-09
2024-09-22 00:25:00+00:00,2024-09-22 09:25:00+00:00,SHORT,63129.43,62813.78,TP,0.5415,22.2008,2024-09
2024-09-22 11:30:00+00:00,2024-09-22 13:30:00+00:00,LONG,62787.11,62661.54,SL,-0.222,21.9787,2024-09
2024-09-22 15:15:00+00:00,2024-09-22 16:05:00+00:00,LONG,62749.08,62623.58,SL,-0.2198,21.759,2024-09
2024-09-22 16:05:00+00:00,2024-09-22 16:30:00+00:00,SHORT,62572.8,62697.95,SL,-0.2176,21.5414,2024-09
2024-09-22 16:30:00+00:00,2024-09-22 17:45:00+00:00,LONG,62755.47,63069.25,TP,0.5385,22.0799,2024-09
2024-09-22 19:15:00+00:00,2024-09-22 19:50:00+00:00,SHORT,62849.21,62974.91,SL,-0.2208,21.8591,2024-09
2024-09-22 19:50:00+00:00,2024-09-22 21:55:00+00:00,LONG,63107.34,62981.13,SL,-0.2186,21.6405,2024-09
2024-09-22 22:30:00+00:00,2024-09-22 22:40:00+00:00,LONG,63039.19,63354.38,TP,0.541,22.1815,2024-09
2024-09-23 00:10:00+00:00,2024-09-23 00:25:00+00:00,SHORT,63019.16,63145.2,SL,-0.2218,21.9597,2024-09
2024-09-23 00:50:00+00:00,2024-09-23 00:55:00+00:00,LONG,63705.37,63577.96,SL,-0.2196,21.7401,2024-09
2024-09-23 04:20:00+00:00,2024-09-23 06:10:00+00:00,SHORT,63997.49,63677.5,TP,0.5435,22.2836,2024-09
2024-09-23 09:25:00+00:00,2024-09-23 10:05:00+00:00,LONG,63707.33,63579.92,SL,-0.2228,22.0608,2024-09
2024-09-23 11:10:00+00:00,2024-09-23 11:40:00+00:00,SHORT,63373.83,63500.58,SL,-0.2206,21.8402,2024-09
2024-09-23 14:15:00+00:00,2024-09-23 14:30:00+00:00,LONG,63707.69,63580.28,SL,-0.2184,21.6218,2024-09
2024-09-23 16:35:00+00:00,2024-09-23 17:30:00+00:00,SHORT,63194.61,63321.0,SL,-0.2162,21.4056,2024-09
2024-09-23 18:40:00+00:00,2024-09-23 18:50:00+00:00,LONG,63573.43,63446.28,SL,-0.2141,21.1915,2024-09
2024-09-23 19:35:00+00:00,2024-09-23 19:45:00+00:00,SHORT,63259.32,63385.83,SL,-0.2119,20.9796,2024-09
2024-09-24 03:45:00+00:00,2024-09-24 04:05:00+00:00,LONG,63205.28,63078.87,SL,-0.2098,20.7698,2024-09
2024-09-24 09:10:00+00:00,2024-09-24 14:00:00+00:00,SHORT,63623.04,63304.93,TP,0.5192,21.289,2024-09
2024-09-24 14:00:00+00:00,2024-09-24 14:05:00+00:00,SHORT,63179.09,63305.45,SL,-0.2129,21.0761,2024-09
2024-09-24 17:20:00+00:00,2024-09-24 17:50:00+00:00,LONG,63519.39,63836.98,TP,0.5269,21.603,2024-09
2024-09-25 00:15:00+00:00,2024-09-25 00:30:00+00:00,SHORT,64094.18,64222.37,SL,-0.216,21.387,2024-09
2024-09-25 00:35:00+00:00,2024-09-25 00:50:00+00:00,LONG,64399.74,64270.94,SL,-0.2139,21.1731,2024-09
2024-09-25 00:50:00+00:00,2024-09-25 00:55:00+00:00,SHORT,63990.96,64118.95,SL,-0.2117,20.9614,2024-09
2024-09-25 01:35:00+00:00,2024-09-25 01:40:00+00:00,LONG,64793.9,64664.31,SL,-0.2096,20.7518,2024-09
2024-09-25 03:05:00+00:00,2024-09-25 03:35:00+00:00,SHORT,64228.3,64356.75,SL,-0.2075,20.5443,2024-09
2024-09-25 11:35:00+00:00,2024-09-25 12:45:00+00:00,LONG,63768.75,63641.21,SL,-0.2054,20.3388,2024-09
2024-09-25 12:55:00+00:00,2024-09-25 13:55:00+00:00,SHORT,63574.57,63701.72,SL,-0.2034,20.1355,2024-09
2024-09-25 14:05:00+00:00,2024-09-25 14:25:00+00:00,LONG,63861.6,63733.88,SL,-0.2014,19.9341,2024-09
2024-09-25 15:50:00+00:00,2024-09-25 17:25:00+00:00,SHORT,63586.62,63268.68,TP,0.4984,20.4325,2024-09
2024-09-25 19:00:00+00:00,2024-09-25 19:15:00+00:00,LONG,63433.36,63306.5,SL,-0.2043,20.2281,2024-09
2024-09-25 19:55:00+00:00,2024-09-25 20:00:00+00:00,SHORT,63156.23,63282.54,SL,-0.2023,20.0258,2024-09
2024-09-25 21:30:00+00:00,2024-09-25 22:10:00+00:00,LONG,63540.58,63413.49,SL,-0.2003,19.8256,2024-09
2024-09-25 22:10:00+00:00,2024-09-25 22:30:00+00:00,SHORT,63276.68,63403.23,SL,-0.1983,19.6273,2024-09
