entry_time,exit_time,direction,entry,exit,result,pnl,capital,risk_pct
2025-11-07 18:54:00+00:00,2025-11-07 19:38:00+00:00,long,102650.54,103080.65,TP,6.3879,219.3194,1.5
2025-11-07 19:59:00+00:00,2025-11-07 20:06:00+00:00,long,103395.25,103082.99,SL,-3.2898,216.0296,1.5
2025-11-07 20:14:00+00:00,2025-11-07 20:23:00+00:00,long,103342.37,103129.01,SL,-3.2404,212.7891,1.5
2025-11-07 20:30:00+00:00,2025-11-07 20:42:00+00:00,long,103312.02,103743.04,TP,6.3837,219.1728,1.5
2025-11-07 21:16:00+00:00,2025-11-07 22:06:00+00:00,long,103514.87,103938.6,TP,6.5752,225.748,1.5
2025-11-07 22:23:00+00:00,2025-11-07 22:33:00+00:00,long,104002.89,103722.15,SL,-3.3862,222.3618,1.5
2025-11-07 22:47:00+00:00,2025-11-07 23:02:00+00:00,long,103800.43,103529.31,SL,-3.3354,219.0263,1.5
2025-11-07 23:06:00+00:00,2025-11-07 23:18:00+00:00,long,103759.35,103462.9,SL,-3.2854,215.7409,1.5
2025-11-07 23:31:00+00:00,2025-11-07 23:59:00+00:00,long,103550.0,103339.08,SL,-3.2361,212.5048,1.5
2025-11-08 00:25:00+00:00,2025-11-08 00:38:00+00:00,short,103183.53,102612.15,TP,6.3751,218.88,1.5
2025-11-08 00:54:00+00:00,2025-11-08 01:05:00+00:00,short,102790.96,103079.78,SL,-3.2832,215.5968,1.5
2025-11-08 01:23:00+00:00,2025-11-08 01:40:00+00:00,short,102967.89,103220.01,SL,-3.234,212.3628,1.5
2025-11-08 01:46:00+00:00,2025-11-08 02:22:00+00:00,short,103062.9,103303.99,SL,-3.1854,209.1774,1.5
2025-11-08 02:39:00+00:00,2025-11-08 02:45:00+00:00,long,103325.89,103101.91,SL,-3.1377,206.0397,1.5
2025-11-08 03:55:00+00:00,2025-11-08 04:47:00+00:00,short,102600.01,102805.63,SL,-3.0906,202.9491,1.5
2025-11-08 04:53:00+00:00,2025-11-08 06:02:00+00:00,short,102640.95,102224.0,TP,6.0885,209.0376,1.5
2025-11-08 06:14:00+00:00,2025-11-08 06:17:00+00:00,short,102112.98,102373.47,SL,-3.1356,205.902,1.5
2025-11-08 06:44:00+00:00,2025-11-08 07:23:00+00:00,short,102402.41,101954.14,TP,6.1771,212.0791,1.5
2025-11-08 08:00:00+00:00,2025-11-08 08:36:00+00:00,short,102330.28,102549.2,SL,-3.1812,208.8979,1.5
2025-11-08 10:09:00+00:00,2025-11-08 10:28:00+00:00,short,102310.13,102520.02,SL,-3.1335,205.7644,1.5
2025-11-08 10:47:00+00:00,2025-11-08 11:33:00+00:00,long,102575.34,102366.47,SL,-3.0865,202.678,1.5
2025-11-08 11:54:00+00:00,2025-11-08 12:06:00+00:00,short,101803.2,102033.73,SL,-3.0402,199.6378,1.5
2025-11-08 12:14:00+00:00,2025-11-08 12:25:00+00:00,short,101752.08,101963.9,SL,-1.9964,197.6414,1.0
2025-11-08 12:43:00+00:00,2025-11-08 14:15:00+00:00,short,102009.53,101576.25,TP,3.9528,201.5942,1.0
2025-11-08 14:46:00+00:00,2025-11-08 18:39:00+00:00,short,101900.01,102128.03,SL,-3.0239,198.5703,1.5
2025-11-08 18:49:00+00:00,2025-11-08 19:19:00+00:00,long,102077.02,101779.76,SL,-1.9857,196.5846,1.0
2025-11-08 19:59:00+00:00,2025-11-08 22:52:00+00:00,long,101989.65,102421.13,TP,3.9317,200.5163,1.0
2025-11-08 23:20:00+00:00,2025-11-09 00:12:00+00:00,long,102426.14,102124.14,SL,-3.0077,197.5086,1.5
2025-11-09 00:51:00+00:00,2025-11-09 01:45:00+00:00,short,101872.5,102082.57,SL,-1.9751,195.5335,1.0
2025-11-09 02:31:00+00:00,2025-11-09 04:20:00+00:00,short,101849.64,102099.99,SL,-1.9553,193.5782,1.0
2025-11-09 05:49:00+00:00,2025-11-09 09:53:00+00:00,long,101897.07,101662.65,SL,-1.9358,191.6424,1.0
2025-11-09 10:34:00+00:00,2025-11-09 10:47:00+00:00,short,101615.93,101840.0,SL,-1.9164,189.7259,1.0
2025-11-09 11:00:00+00:00,2025-11-09 12:18:00+00:00,long,101939.97,102366.28,TP,3.7945,193.5205,1.0
2025-11-09 12:46:00+00:00,2025-11-09 13:32:00+00:00,long,102192.29,102604.2,TP,3.8704,197.3909,1.0
2025-11-09 13:47:00+00:00,2025-11-09 14:18:00+00:00,long,102813.22,103235.69,TP,3.9478,201.3387,1.0
2025-11-09 15:04:00+00:00,2025-11-09 15:34:00+00:00,long,103265.22,103680.06,TP,6.0402,207.3789,1.5
2025-11-09 15:52:00+00:00,2025-11-09 15:57:00+00:00,long,103953.75,103712.13,SL,-3.1107,204.2682,1.5
2025-11-09 16:22:00+00:00,2025-11-09 17:00:00+00:00,long,103469.9,103900.92,TP,6.128,210.3962,1.5
2025-11-09 17:28:00+00:00,2025-11-09 18:48:00+00:00,long,103537.58,103999.99,TP,6.3119,216.7081,1.5
2025-11-09 19:25:00+00:00,2025-11-09 20:00:00+00:00,long,104399.75,104871.2,TP,6.5012,223.2093,1.5
2025-11-09 20:01:00+00:00,2025-11-09 20:07:00+00:00,long,104923.38,104657.95,SL,-3.3481,219.8612,1.5
2025-11-09 20:24:00+00:00,2025-11-09 21:56:00+00:00,long,104588.25,104377.44,SL,-3.2979,216.5633,1.5
2025-11-09 22:14:00+00:00,2025-11-09 22:37:00+00:00,long,104469.52,104152.95,SL,-3.2484,213.3148,1.5
2025-11-09 23:50:00+00:00,2025-11-10 00:03:00+00:00,long,104633.06,104379.99,SL,-3.1997,210.1151,1.5
2025-11-10 00:09:00+00:00,2025-11-10 00:19:00+00:00,long,104710.51,105267.85,TP,6.3035,216.4186,1.5
2025-11-10 00:36:00+00:00,2025-11-10 00:50:00+00:00,long,105860.4,106323.78,TP,6.4926,222.9111,1.5
2025-11-10 01:45:00+00:00,2025-11-10 02:02:00+00:00,long,105809.93,105570.0,SL,-3.3437,219.5675,1.5
2025-11-10 02:08:00+00:00,2025-11-10 03:02:00+00:00,long,105735.64,106199.0,TP,6.587,226.1545,1.5
2025-11-10 03:31:00+00:00,2025-11-10 05:16:00+00:00,long,105993.8,106420.61,TP,6.7846,232.9391,1.5
2025-11-10 05:44:00+00:00,2025-11-10 08:39:00+00:00,long,106155.99,105908.94,SL,-3.4941,229.445,1.5
2025-11-10 09:14:00+00:00,2025-11-10 09:19:00+00:00,short,105950.57,106175.33,SL,-3.4417,226.0034,1.5
2025-11-10 10:17:00+00:00,2025-11-10 10:32:00+00:00,long,106363.05,106113.01,SL,-3.3901,222.6133,1.5
2025-11-10 10:56:00+00:00,2025-11-10 11:26:00+00:00,short,105968.71,106206.77,SL,-3.3392,219.2741,1.5
2025-11-10 11:36:00+00:00,2025-11-10 13:06:00+00:00,short,106157.92,106379.12,SL,-3.2891,215.985,1.5
2025-11-10 13:29:00+00:00,2025-11-10 14:31:00+00:00,long,106303.78,105960.44,SL,-3.2398,212.7452,1.5
2025-11-10 15:37:00+00:00,2025-11-10 15:51:00+00:00,short,105329.56,104875.28,TP,6.3824,219.1276,1.5
2025-11-10 16:21:00+00:00,2025-11-10 16:31:00+00:00,short,105051.75,105288.7,SL,-3.2869,215.8407,1.5
2025-11-10 16:35:00+00:00,2025-11-10 17:04:00+00:00,short,105090.46,105338.0,SL,-3.2376,212.6031,1.5
2025-11-10 17:12:00+00:00,2025-11-10 17:38:00+00:00,short,105353.4,105667.07,SL,-3.189,209.414,1.5
