strategy,entry_time,exit_time,direction,entry_price,exit_price,result,pnl_usd,capital
BB v1 (Original),2024-08-07 17:00:00+00:00,2024-08-07 18:00:00+00:00,short,55528.93,54804.17,TP,2.1443,109.3601
BB v1 (Original),2024-08-08 15:00:00+00:00,2024-08-08 21:00:00+00:00,long,59515.78,61065.8,TP,2.1872,111.5473
BB v1 (Original),2024-08-11 12:00:00+00:00,2024-08-11 19:00:00+00:00,short,60520.04,59694.5,TP,2.2309,113.7782
BB v1 (Original),2024-08-12 14:00:00+00:00,2024-08-12 16:00:00+00:00,long,60309.45,59661.11,SL,-1.1378,112.6404
BB v1 (Original),2024-08-13 16:00:00+00:00,2024-08-13 18:00:00+00:00,long,61170.16,60842.02,SL,-1.1264,111.514
BB v1 (Original),2024-08-14 11:00:00+00:00,2024-08-14 13:00:00+00:00,long,61328.0,59529.6,SL,-1.1151,110.3989
BB v1 (Original),2024-08-15 13:00:00+00:00,2024-08-15 17:00:00+00:00,long,59410.96,58935.88,SL,-1.104,109.2949
BB v1 (Original),2024-08-15 19:00:00+00:00,2024-08-15 20:00:00+00:00,short,57130.74,56386.16,TP,2.1859,111.4808
BB v1 (Original),2024-08-16 17:00:00+00:00,2024-08-16 23:00:00+00:00,long,59284.98,58893.53,SL,-1.1148,110.366
BB v1 (Original),2024-08-17 16:00:00+00:00,2024-08-17 21:00:00+00:00,long,59619.2,59295.75,SL,-1.1037,109.2623
BB v1 (Original),2024-08-18 00:00:00+00:00,2024-08-18 03:00:00+00:00,long,59698.61,59354.29,SL,-1.0926,108.1697
BB v1 (Original),2024-08-18 09:00:00+00:00,2024-08-18 17:00:00+00:00,long,59901.96,59514.06,SL,-1.0817,107.088
BB v1 (Original),2024-08-18 23:00:00+00:00,2024-08-19 17:00:00+00:00,short,58482.75,59008.87,SL,-1.0709,106.0171
BB v1 (Original),2024-08-19 18:00:00+00:00,2024-08-20 00:00:00+00:00,long,59057.61,60385.18,TP,2.1203,108.1375
BB v1 (Original),2024-08-21 16:00:00+00:00,2024-08-21 18:00:00+00:00,long,59894.48,60763.26,TP,2.1627,110.3002
BB v1 (Original),2024-08-23 08:00:00+00:00,2024-08-23 11:00:00+00:00,long,61295.21,60728.45,SL,-1.103,109.1972
BB v1 (Original),2024-08-23 15:00:00+00:00,2024-08-23 17:00:00+00:00,long,61550.6,62947.87,TP,2.1839,111.3812
BB v1 (Original),2024-08-24 21:00:00+00:00,2024-08-24 23:00:00+00:00,short,63640.15,64176.37,SL,-1.1138,110.2674
BB v1 (Original),2024-08-25 21:00:00+00:00,2024-08-26 01:00:00+00:00,long,64428.64,63955.44,SL,-1.1027,109.1647
BB v1 (Original),2024-08-26 06:00:00+00:00,2024-08-26 22:00:00+00:00,short,63725.88,63026.27,TP,2.1833,111.348
BB v1 (Original),2024-08-27 10:00:00+00:00,2024-08-27 15:00:00+00:00,short,62325.89,61659.88,TP,2.227,113.5749
BB v1 (Original),2024-08-27 21:00:00+00:00,2024-08-27 22:00:00+00:00,short,60403.96,59533.35,TP,2.2715,115.8464
BB v1 (Original),2024-08-29 11:00:00+00:00,2024-08-29 14:00:00+00:00,long,60135.01,60836.17,TP,2.3169,118.1634
BB v1 (Original),2024-08-30 14:00:00+00:00,2024-08-30 18:00:00+00:00,short,58493.6,59321.3,SL,-1.1816,116.9817
BB v1 (Original),2024-09-01 02:00:00+00:00,2024-09-01 10:00:00+00:00,short,58527.16,57911.17,TP,2.3396,119.3214
BB v1 (Original),2024-09-01 22:00:00+00:00,2024-09-02 03:00:00+00:00,short,57428.63,57726.29,SL,-1.1932,118.1282
BB v1 (Original),2024-09-03 13:00:00+00:00,2024-09-03 14:00:00+00:00,short,58392.35,57690.8,TP,2.3626,120.4907
BB v1 (Original),2024-09-04 16:00:00+00:00,2024-09-04 17:00:00+00:00,long,58399.1,57913.08,SL,-1.2049,119.2858
BB v1 (Original),2024-09-05 15:00:00+00:00,2024-09-05 16:00:00+00:00,short,55987.69,56325.56,SL,-1.1929,118.093
BB v1 (Original),2024-09-06 14:00:00+00:00,2024-09-06 15:00:00+00:00,short,54642.7,54016.63,TP,2.3619,120.4548
BB v1 (Original),2024-09-08 15:00:00+00:00,2024-09-08 17:00:00+00:00,short,53773.28,54454.64,SL,-1.2045,119.2503
BB v1 (Original),2024-09-08 23:00:00+00:00,2024-09-09 13:00:00+00:00,long,54851.89,55747.11,TP,2.385,121.6353
BB v1 (Original),2024-09-09 16:00:00+00:00,2024-09-09 19:00:00+00:00,long,56500.57,57163.04,TP,2.4327,124.068
BB v1 (Original),2024-09-09 21:00:00+00:00,2024-09-09 23:00:00+00:00,long,57496.47,57020.1,SL,-1.2407,122.8273
BB v1 (Original),2024-09-10 18:00:00+00:00,2024-09-11 01:00:00+00:00,long,57574.67,56882.34,SL,-1.2283,121.599
BB v1 (Original),2024-09-13 15:00:00+00:00,2024-09-13 21:00:00+00:00,long,59621.04,60305.38,TP,2.432,124.031
BB v1 (Original),2024-09-15 01:00:00+00:00,2024-09-15 17:00:00+00:00,long,60252.67,59838.11,SL,-1.2403,122.7907
BB v1 (Original),2024-09-15 21:00:00+00:00,2024-09-16 00:00:00+00:00,short,59653.51,58679.85,TP,2.4558,125.2465
BB v1 (Original),2024-09-16 14:00:00+00:00,2024-09-16 15:00:00+00:00,short,57609.59,57914.43,SL,-1.2525,123.994
BB v1 (Original),2024-09-17 09:00:00+00:00,2024-09-17 14:00:00+00:00,long,58972.92,60249.86,TP,2.4799,126.4739
BB v1 (Original),2024-09-18 09:00:00+00:00,2024-09-18 17:00:00+00:00,short,59698.94,60003.48,SL,-1.2647,125.2092
BB v1 (Original),2024-09-18 23:00:00+00:00,2024-09-19 10:00:00+00:00,long,61651.16,62345.27,TP,2.5042,127.7134
BB v1 (Original),2024-09-22 06:00:00+00:00,2024-09-22 22:00:00+00:00,short,62892.68,63964.02,SL,-1.2771,126.4362
BB v1 (Original),2024-09-23 03:00:00+00:00,2024-09-23 04:00:00+00:00,long,64349.2,63931.73,SL,-1.2644,125.1719
BB v1 (Original),2024-09-24 00:00:00+00:00,2024-09-24 06:00:00+00:00,short,62966.46,63294.77,SL,-1.2517,123.9202
BB v1 (Original),2024-09-24 08:00:00+00:00,2024-09-24 09:00:00+00:00,long,63914.63,63525.38,SL,-1.2392,122.681
BB v1 (Original),2024-09-24 19:00:00+00:00,2024-09-25 06:00:00+00:00,long,64284.72,63811.5,SL,-1.2268,121.4541
BB v1 (Original),2024-09-26 10:00:00+00:00,2024-09-26 15:00:00+00:00,long,64344.88,65273.96,TP,2.4291,123.8832
BB v1 (Original),2024-09-27 14:00:00+00:00,2024-09-27 17:00:00+00:00,long,66297.29,65877.76,SL,-1.2388,122.6444
BB v1 (Original),2024-09-30 01:00:00+00:00,2024-09-30 09:00:00+00:00,short,64757.07,63646.71,TP,2.4529,125.0973
BB v1 (Original),2024-10-01 13:00:00+00:00,2024-10-01 17:00:00+00:00,short,62926.06,62178.11,TP,2.5019,127.5992
BB v1 (Original),2024-10-02 19:00:00+00:00,2024-10-02 20:00:00+00:00,short,60341.51,60944.59,SL,-1.276,126.3232
BB v1 (Original),2024-10-04 12:00:00+00:00,2024-10-04 14:00:00+00:00,long,61823.88,61168.42,SL,-1.2632,125.06
BB v1 (Original),2024-10-04 16:00:00+00:00,2024-10-05 02:00:00+00:00,long,62241.82,61821.96,SL,-1.2506,123.8094
BB v1 (Original),2024-10-06 12:00:00+00:00,2024-10-07 00:00:00+00:00,long,62214.82,63696.24,TP,2.4762,126.2856
BB v1 (Original),2024-10-07 22:00:00+00:00,2024-10-08 13:00:00+00:00,short,62592.79,62939.54,SL,-1.2629,125.0227
BB v1 (Original),2024-10-08 18:00:00+00:00,2024-10-08 21:00:00+00:00,short,62081.5,62394.9,SL,-1.2502,123.7725
BB v1 (Original),2024-10-09 12:00:00+00:00,2024-10-09 15:00:00+00:00,short,61766.31,62278.22,SL,-1.2377,122.5348
BB v1 (Original),2024-10-09 18:00:00+00:00,2024-10-09 20:00:00+00:00,short,61145.72,60455.8,TP,2.4507,124.9855
BB v1 (Original),2024-10-10 16:00:00+00:00,2024-10-10 17:00:00+00:00,short,60307.06,59506.82,TP,2.4997,127.4852
BB v1 (Original),2024-10-11 13:00:00+00:00,2024-10-11 15:00:00+00:00,long,61779.77,62416.0,TP,2.5497,130.0349
BB v1 (Original),2024-10-11 17:00:00+00:00,2024-10-11 22:00:00+00:00,long,62881.38,62437.33,SL,-1.3003,128.7345
BB v1 (Original),2024-10-12 14:00:00+00:00,2024-10-13 01:00:00+00:00,long,63245.46,62861.17,SL,-1.2873,127.4472
BB v1 (Original),2024-10-13 14:00:00+00:00,2024-10-13 16:00:00+00:00,short,62218.49,62609.68,SL,-1.2745,126.1727
BB v1 (Original),2024-10-14 03:00:00+00:00,2024-10-14 05:00:00+00:00,long,64236.48,63893.57,SL,-1.2617,124.911
BB v1 (Original),2024-10-14 07:00:00+00:00,2024-10-14 14:00:00+00:00,long,64578.04,65960.35,TP,2.4982,127.4092
BB v1 (Original),2024-10-15 13:00:00+00:00,2024-10-15 14:00:00+00:00,long,67642.27,65376.84,SL,-1.2741,126.1351
BB v1 (Original),2024-10-16 11:00:00+00:00,2024-10-16 13:00:00+00:00,long,68030.05,67401.39,SL,-1.2614,124.8738
BB v1 (Original),2024-10-17 04:00:00+00:00,2024-10-18 01:00:00+00:00,short,67253.98,68153.41,SL,-1.2487,123.625
BB v1 (Original),2024-10-18 15:00:00+00:00,2024-10-18 20:00:00+00:00,long,68779.82,68410.05,SL,-1.2363,122.3888
BB v1 (Original),2024-10-19 16:00:00+00:00,2024-10-20 09:00:00+00:00,short,68056.84,68417.99,SL,-1.2239,121.1649
BB v1 (Original),2024-10-20 14:00:00+00:00,2024-10-21 10:00:00+00:00,long,68626.38,68249.91,SL,-1.2116,119.9533
BB v1 (Original),2024-10-21 13:00:00+00:00,2024-10-21 19:00:00+00:00,short,67344.19,67844.12,SL,-1.1995,118.7537
BB v1 (Original),2024-10-22 08:00:00+00:00,2024-10-22 11:00:00+00:00,short,66899.04,67263.09,SL,-1.1875,117.5662
BB v1 (Original),2024-10-23 08:00:00+00:00,2024-10-23 17:00:00+00:00,short,66442.09,65617.55,TP,2.3513,119.9175
BB v1 (Original),2024-10-24 00:00:00+00:00,2024-10-24 08:00:00+00:00,long,67269.56,66844.47,SL,-1.1992,118.7183
BB v1 (Original),2024-10-24 19:00:00+00:00,2024-10-25 04:00:00+00:00,long,68237.12,67703.05,SL,-1.1872,117.5311
BB v1 (Original),2024-10-25 17:00:00+00:00,2024-10-25 21:00:00+00:00,short,66785.54,67154.89,SL,-1.1753,116.3558
BB v1 (Original),2024-10-27 12:00:00+00:00,2024-10-27 22:00:00+00:00,long,67304.19,68041.86,TP,2.3271,118.683
BB v1 (Original),2024-10-28 07:00:00+00:00,2024-10-28 18:00:00+00:00,long,68343.05,69139.85,TP,2.3737,121.0566
BB v1 (Original),2024-10-29 02:00:00+00:00,2024-10-29 14:00:00+00:00,long,71100.5,71859.3,TP,2.4211,123.4777
BB v1 (Original),2024-10-29 16:00:00+00:00,2024-10-29 21:00:00+00:00,long,72670.16,72289.11,SL,-1.2348,122.243
BB v1 (Original),2024-10-30 20:00:00+00:00,2024-10-30 21:00:00+00:00,long,72756.95,72369.98,SL,-1.2224,121.0205
BB v1 (Original),2024-10-31 13:00:00+00:00,2024-10-31 16:00:00+00:00,short,71193.92,70348.38,TP,2.4204,123.4409
BB v1 (Original),2024-11-01 13:00:00+00:00,2024-11-01 15:00:00+00:00,long,71043.71,69392.5,SL,-1.2344,122.2065
BB v1 (Original),2024-11-03 01:00:00+00:00,2024-11-03 02:00:00+00:00,short,69017.7,68144.21,TP,2.4441,124.6507
BB v1 (Original),2024-11-03 21:00:00+00:00,2024-11-03 23:00:00+00:00,long,69106.8,68746.72,SL,-1.2465,123.4042
BB v1 (Original),2024-11-04 14:00:00+00:00,2024-11-04 15:00:00+00:00,short,68279.77,68648.66,SL,-1.234,122.1701
BB v1 (Original),2024-11-04 16:00:00+00:00,2024-11-04 22:00:00+00:00,short,67607.92,68049.77,SL,-1.2217,120.9484
BB v1 (Original),2024-11-05 14:00:00+00:00,2024-11-05 15:00:00+00:00,long,69984.84,69542.45,SL,-1.2095,119.7389
BB v1 (Original),2024-11-05 16:00:00+00:00,2024-11-05 19:00:00+00:00,long,70156.02,68814.11,SL,-1.1974,118.5415
BB v1 (Original),2024-11-06 00:00:00+00:00,2024-11-06 02:00:00+00:00,long,71174.87,73187.18,TP,2.3708,120.9124
BB v1 (Original),2024-11-06 20:00:00+00:00,2024-11-06 21:00:00+00:00,long,76287.87,75905.02,SL,-1.2091,119.7033
BB v1 (Original),2024-11-07 17:00:00+00:00,2024-11-07 21:00:00+00:00,long,76416.41,75953.73,SL,-1.197,118.5062
BB v1 (Original),2024-11-08 17:00:00+00:00,2024-11-10 04:00:00+00:00,long,76499.22,79157.38,TP,2.3701,120.8763
BB v1 (Original),2024-11-11 01:00:00+00:00,2024-11-11 05:00:00+00:00,long,81242.62,80610.66,SL,-1.2088,119.6676
BB v1 (Original),2024-11-11 15:00:00+00:00,2024-11-11 18:00:00+00:00,long,84177.41,85812.25,TP,2.3934,122.0609
BB v1 (Original),2024-11-13 14:00:00+00:00,2024-11-13 15:00:00+00:00,long,91753.94,92732.43,TP,2.4412,124.5021
BB v1 (Original),2024-11-14 15:00:00+00:00,2024-11-14 16:00:00+00:00,short,88157.98,89093.88,SL,-1.245,123.2571
BB v1 (Original),2024-11-14 20:00:00+00:00,2024-11-14 21:00:00+00:00,short,87757.32,88215.53,SL,-1.2326,122.0246
BB v1 (Original),2024-11-15 13:00:00+00:00,2024-11-15 14:00:00+00:00,long,90237.77,89006.34,SL,-1.2202,120.8043
BB v1 (Original),2024-11-15 20:00:00+00:00,2024-11-16 13:00:00+00:00,long,91332.09,90703.9,SL,-1.208,119.5963
BB v1 (Original),2024-11-16 15:00:00+00:00,2024-11-16 17:00:00+00:00,short,90437.72,90937.36,SL,-1.196,118.4003
